시설명,종류,주소,도로명,지번주소,위도,경도,법정동
오륜초등학교 운동장 놀이시설,학교,서울특별시 송파구 양재대로 1196 (방이동)서울오륜초등학교,서울특별시 송파구 양재대로 1196 (방이동),서울특별시 송파구 방이동 89-16 오륜초등학교,37.51205348,127.1345629,서울특별시 송파구 방이동
서울세륜초등학교 놀이터,학교,서울특별시 송파구 양재대로 1264 (방이동)서울세륜초등학교,서울특별시 송파구 양재대로 1264 (방이동),서울특별시 송파구 방이동 89-23 세륜초등학교,37.51857812,127.1337773,서울특별시 송파구 방이동
서울방산초등학교 어린이 놀이시설,학교,서울특별시 송파구 오금로27길 42 (방이동)서울방산초등학교,서울특별시 송파구 오금로27길 42 (방이동),서울특별시 송파구 방이동 220-4 방산초등학교,37.50937823,127.1209575,서울특별시 송파구 방이동
서울방이초등학교 놀이시설,학교,서울특별시 송파구 위례성대로10길 4 (방이동)서울방이초등학교,서울특별시 송파구 위례성대로10길 4 (방이동),서울특별시 송파구 방이동 167 방이초등학교,37.51336783,127.1209235,서울특별시 송파구 방이동
서울삼전초등학교 놀이시설,학교,서울특별시 송파구 백제고분로28길 19 (삼전동)서울삼전초등학교,서울특별시 송파구 백제고분로28길 19 (삼전동),서울특별시 송파구 삼전동 63 서울삼전초등학교,37.50144177,127.0925927,서울특별시 송파구 삼전동
서울석촌초등학교 놀이시설,학교,서울특별시 송파구 가락로11길 26 (석촌동)서울석촌초등학교,서울특별시 송파구 가락로11길 26 (석촌동),서울특별시 송파구 석촌동 267 석촌초등학교,37.50255079,127.1047645,서울특별시 송파구 석촌동
서울 중대초등학교 놀이시설,학교,서울특별시 송파구 송파대로36길 8 (송파동)서울중대초등학교,서울특별시 송파구 송파대로36길 8 (송파동),서울특별시 송파구 송파동 191 서울중대초등학교,37.50010444,127.1137719,서울특별시 송파구 송파동
서울송파초등학교 놀이터,학교,서울특별시 송파구 백제고분로 400 (송파동)서울송파초등학교,서울특별시 송파구 백제고분로 400 (송파동),서울특별시 송파구 송파동 114 송파초등학교,37.50705274,127.1107723,서울특별시 송파구 송파동
서울잠실초등학교 놀이시설,학교,서울특별시 송파구 올림픽로35길 20 (신천동)서울잠실초등학교,서울특별시 송파구 올림픽로35길 20 (신천동),서울특별시 송파구 신천동 20-2 잠실초등학교,37.52010061,127.1112829,서울특별시 송파구 신천동
서울잠현초등학교 놀이터,학교,서울특별시 송파구 올림픽로37길 109 (신천동)서울잠현초등학교,서울특별시 송파구 올림픽로37길 109 (신천동),서울특별시 송파구 신천동 17-2 잠현초등학교,37.52241113,127.1047663,서울특별시 송파구 신천동
잠동초등학교 놀이터,학교,서울특별시 송파구 올림픽로35길 122 (신천동)서울잠동초등학교,서울특별시 송파구 올림픽로35길 122 (신천동),서울특별시 송파구 신천동 7-2 잠동초등학교,37.51796434,127.1000483,서울특별시 송파구 신천동
